Sample_ID	Straw_Rate	Cover_Crop	Block	C_1981	C_1988	C_1992	C_1999	C_2002	C_2008	C_2010	C_2012	C_2014	C_2016	C_2018	C_2019	N_1981	N_1988	N_1992	N_1999	N_2002	N_2008	N_2010	N_2012	N_2014	N_2016	N_2018	N_2019	Clay_<2um	Silt_2_20um	Csilt_20_63um	Fsand_63_200um	Csand_200_2000um	Bulk_Density_2020	SOC_Stock_FM
201	0	Without	1	1.41	1.35	1.23	1.19	1.23	1.22	1.23	1.25	1.22	1.26	1.26	1.19	0.126	0.118987597	0.115057511	0.100913277	0.111020442	0.095833754	0.107928182	0.110909458	0.109168099	0.108124495	0.102113032	0.098019402	11.71956026	7.052478739	19.62248496	27.27649865	34.32897739	1.62	34.7
202	0	Ryegrass	1	1.41	1.38	1.3	1.27	1.23	1.28	1.23	1.3	1.27	1.31	1.36	1.26	0.126	0.124029444	0.124172008	0.111036284	0.12111321	0.109989909	0.111996771	0.117991125	0.110301558	0.111178492	0.116326118	0.109101929	11.94432904	6.439551309	19.60947237	26.58911508	35.4175322	1.56	36.8
204	8	Ryegrass	2	1.41	1.46	1.56	1.55	1.47	1.43	1.52	1.37	1.48	1.54	1.54	1.57	0.126	0.136116152	0.142470545	0.131351213	0.131318389	0.123132822	0.133292942	0.123107972	0.127491652	0.137554364	0.129528436	0.131406045	11.4894506	6.893670357	19.36494673	26.32128682	35.9306455	1.48	45.8
206	8	Without	2	1.41	1.38	1.41	1.35	1.32	1.27	1.36	1.35	1.36	1.41	1.39	1.43	0.126	0.125012602	0.132300115	0.111067981	0.121152101	0.111985472	0.126135217	0.121065375	0.118277396	0.128360623	0.119252148	0.121212121	11.54206093	6.238951856	19.30955599	27.76333576	35.14609546	1.57	41.7
208	4	Without	3	1.41	1.43	1.34	1.24	1.19	1.24	1.31	1.25	1.34	1.38	1.32	1.38	0.126	0.127080182	0.128228431	0.103959213	0.121095933	0.101968703	0.11914378	0.112925993	0.116326118	0.119324502	0.109190173	0.137457045	12.48439451	7.178526841	18.12317936	27.15355805	35.06034124	1.6	40.3
209	4	Ryegrass	3	1.41	1.4	1.46	1.47	1.41	1.26	1.41	1.36	1.43	1.44	1.5	1.43	0.126	0.12713147	0.139394436	0.131318389	0.14138952	0.111021397	0.127272727	0.120347896	0.127465857	0.129502226	0.131459197	0.121383775	12.70608002	5.775490917	19.03811824	27.40732962	35.0729812	1.53	41.7
301	4	Without	1	1.41	1.46	1.39	1.41	1.33	1.4	1.47	1.42	1.45	1.45	1.62	1.38	0.126	0.125025207	0.127241411	0.121191017	0.121156424	0.115139885	0.127208481	0.121371498	0.131565631	0.124468731	0.12539185	0.123282134	11.02329451	7.695507488	19.61314476	27.45424293	34.21381032	1.57	40.3
302	4	Ryegrass	1	1.41	1.48	1.48	1.51	1.43	1.41	1.53	1.48	1.58	1.56	1.5	1.57	0.126	0.1320964	0.136373955	0.131332454	0.131299641	0.120068611	0.138355888	0.127427184	0.137637891	0.138495754	0.127427184	0.138425786	12.14278237	7.641578562	17.93153983	28.36805192	33.91604731	1.49	45.8
304	12	Ryegrass	2	1.41	1.49	1.62	1.6	1.59	1.51	1.67	1.59	1.64	1.57	1.66	1.66	0.126	0.135135135	0.14351177	0.131374668	0.151580742	0.132203048	0.143332997	0.138467758	0.146820575	0.138495754	0.137596115	0.129371336	11.2407211	7.211028632	19.51219512	26.93531283	35.10074231	1.46	48.4
306	12	Without	2	1.41	1.45	1.48	1.52	1.38	1.47	1.6	1.43	1.55	1.53	1.53	1.59	0.126	0.127028934	0.136373955	0.121234286	0.131276212	0.12715713	0.13828606	0.126454224	0.13458814	0.135449308	0.121383775	0.137498736	12.01420811	6.790639365	19.24362725	27.78938571	34.16213957	1.46	46.4
308	8	Without	3	1.41	1.38	1.56	1.45	1.39	1.41	1.46	1.51	1.52	1.52	1.46	1.51	0.126	0.126033474	0.136931393	0.121208321	0.131280897	0.12309555	0.12715713	0.134506472	0.13458814	0.136556747	0.123356926	0.110268083	12.52871163	6.368761746	18.87659219	27.87638338	34.34955105	1.52	44.1
309	8	Ryegrass	3	1.41	1.56	1.55	1.52	1.48	1.53	1.61	1.57	1.59	1.53	1.6	1.59	0.126	0.143275149	0.14448622	0.131337143	0.141424853	0.137415378	0.137345991	0.140602873	0.140730991	0.13353566	0.138593829	0.110256929	13.06711269	6.272214092	18.77482751	27.4932051	34.3926406	1.46	46.4
601	8	Without	1	1.41	1.5	1.62	1.65	1.5	1.51	1.58	1.46	1.54	1.64	1.59	1.5	0.126	0.133118193	0.141490503	0.131398131	0.131327766	0.130210962	0.135271553	0.118313277	0.13149909	0.134629011	0.129319054	0.122308703	12.10476886	7.617656266	17.45799854	28.17489304	34.64468329	1.56	43.8
602	8	Ryegrass	1	1.41	1.65	1.65	1.66	1.55	1.51	1.73	1.62	1.65	1.77	1.66	1.71	0.126	0.146390712	0.1495916	0.141510735	0.151559091	0.136239782	0.148454858	0.137498736	0.147743372	0.148845687	0.137484836	0.146672062	11.67108753	6.578249337	20.1061008	27.69230769	33.95225464	1.5	49.9
604	0	Ryegrass	2	1.41	1.31	1.33	1.31	1.3	1.34	1.42	1.32	1.35	1.36	1.33	1.5	0.126	0.120008068	0.130243103	0.121147778	0.121143456	0.117053481	0.12815338	0.116114701	0.122308703	0.118313277	0.110023216	0.139408021	11.07512277	6.373419705	20.38449483	28.00125379	34.16570891	1.6	43.8
606	0	Without	2	1.41	1.26	1.29	1.24	1.27	1.25	1.31	1.24	1.32	1.27	1.3	1.35	0.126	0.110898276	0.122148619	0.111024402	0.111036284	0.106865611	0.115962489	0.108048066	0.11419909	0.117278334	0.110023216	0.146553467	10.92157271	6.448928646	20.42854171	27.45995423	34.7410027	1.61	39.4
608	12	Without	3	1.41	1.49	1.5	1.6	1.41	1.44	1.57	1.45	1.56	1.63	1.5	1.51	0.126	0.13013215	0.138399225	0.141480411	0.131290268	0.121040952	0.134262063	0.119228049	0.134384157	0.139676113	0.12225927	0.123269678	12.03054713	6.799874464	19.55225442	27.19949786	34.41782613	1.57	44.1
609	12	Ryegrass	3	1.41	1.5	1.6	1.61	1.64	1.58	1.62	1.53	1.61	1.67	1.68	1.63	0.126	0.135189669	0.147543765	0.13137936	0.141500625	0.140276516	0.141371302	0.136487716	0.140418224	0.136625848	0.146657227	0.113280065	12.06462442	7.763323542	17.1212757	28.11582039	34.93495594	1.52	47.6
701	12	Without	1	1.41	1.52	1.72	1.73	1.55	1.58	1.64	1.51	1.62	1.85	1.77	1.67	0.126	0.135216953	0.150640068	0.13143569	0.151559091	0.130145278	0.128243966	0.128373597	0.140375682	0.138565793	0.139520776	0.103103204	11.67976216	7.007857295	19.62200042	27.92524952	33.7651306	1.5	48.7
702	12	Ryegrass	1	1.41	1.62	1.8	1.86	1.7	1.65	1.75	1.66	1.86	1.75	1.82	1.79	0.126	0.149344097	0.162818663	0.141611906	0.141530957	0.14040404	0.154529845	0.148634985	0.164713015	0.14266923	0.146672062	0.107200647	11.79371717	6.111289804	19.90993889	27.76884314	34.416211	1.47	52.2
704	4	Ryegrass	2	1.41	1.46	1.45	1.45	1.35	1.43	1.5	1.54	1.48	1.55	1.45	1.52	0.126	0.128075837	0.135349235	0.121208321	0.12116507	0.119071645	0.132203048	0.134656272	0.127337039	0.129462931	0.123244772	0.098049126	11.13445378	7.24789916	19.32773109	27.94117647	34.3487395	1.54	44.4
706	4	Without	2	1.41	1.48	1.37	1.36	1.34	1.28	1.4	1.37	1.39	1.52	1.38	1.45	0.126	0.133158479	0.13228123	0.121169394	0.111064018	0.108903902	0.125088268	0.114291494	0.124204786	0.121285628	0.113108463	0.109079891	10.9340831	6.872852234	19.08778507	28.42861606	34.67666354	1.53	42.3
708	0	Without	3	1.41	1.25	1.14	1.11	1.13	1.08	1.27	1.19	1.32	1.26	1.23	1.27	0.126	0.113899808	0.111993709	0.100884495	0.100891689	0.096754687	0.11294877	0.10411402	0.11411836	0.113131313	0.102988691	0.131286609	11.91956882	7.255389718	19.05058043	27.8814262	33.89303483	1.51	37.1
709	0	Ryegrass	3	1.41	1.43	1.36	1.32	1.28	1.32	1.44	1.31	1.36	1.36	1.3	1.37	0.126	0.124041952	0.130257046	0.121152101	0.111040245	0.114873035	0.121065375	0.111245955	0.121212121	0.115232993	0.107103163	0.121212121	11.76225669	6.974081399	19.64192776	27.68814406	33.93359009	1.53	40
